State_Name,District_Name,Crop_Year,Season,Crop,Area,rainfall,Average Humidity,Mean Temp,Cost of Cultivation (`/Hectare) C2,Cost of Production (`/Quintal) C2,Yield (Quintal/ Hectare) ,cost of production per yield
Chhattisgarh,RAJNANDGAON,2004,Whole Year ,Banana,30,0.07450455,59,58,26762.09,1559.04,16.69,26020.3776
Chhattisgarh,RAJNANDGAON,2005,Whole Year ,Banana,11,0.21139503,38,58,28144.5,2539.47,8.72,22144.1784
Chhattisgarh,RAJNANDGAON,2006,Whole Year ,Banana,7,0.07068936,13,81,13209.32,2172.46,37.19,80793.7874
Tamil Nadu,CUDDALORE,2002,Kharif     ,Jowar,199,0.00621426,58,58,15371.45,1595.56,32.42,51728.0552
Tamil Nadu,CUDDALORE,2003,Kharif     ,Jowar,1784,0.12850257,59,64,17705.93,1279.6,12.94,16558.024
Tamil Nadu,CUDDALORE,2004,Kharif     ,Jowar,1327,0.08972662,34,75,22560.3,1279.6,56,71657.6
Tamil Nadu,CUDDALORE,2005,Kharif     ,Jowar,891,0.01812981,18,90,45239.51,2277.68,10.29,23437.3272
Tamil Nadu,CUDDALORE,2006,Whole Year ,Jowar,661,0,23,93,15371.45,683.58,39.83,27226.9914
Tamil Nadu,CUDDALORE,2007,Whole Year ,Jowar,1085,0.01957236,27,98,33046.12,2068.67,13.7,28340.779
Tamil Nadu,CUDDALORE,2008,Whole Year ,Jowar,878,0,59,84,19083.55,2509.99,6.42,16114.1358
Tamil Nadu,CUDDALORE,2009,Whole Year ,Jowar,798,0.02568465,72,86,85801.95,1279.6,32.42,41484.632
Tamil Nadu,CUDDALORE,2011,Kharif     ,Jowar,30,0,65,84,29876.36,1559.04,6.83,10648.2432
Tamil Nadu,CUDDALORE,2011,Rabi       ,Jowar,1,0,63,86,33046.12,581.69,11.98,6968.6462
Tamil Nadu,CUDDALORE,2013,Kharif     ,Jowar,66,0,38,74,31902.74,1551.94,24.39,37851.8166
Tamil Nadu,CUDDALORE,2013,Rabi       ,Jowar,9,0,48,68,19259.84,1387.36,13.45,18659.992
Tamil Nadu,DHARMAPURI,1997,Whole Year ,Jowar,22103,0.02202529,50,59,31902.74,2127.35,6.42,13657.587
Tamil Nadu,DHARMAPURI,1998,Kharif     ,Jowar,25194,0.00038962,52,52,31902.74,731.25,4.05,2961.5625
Tamil Nadu,DHARMAPURI,1999,Kharif     ,Jowar,24658,0.2228459,62,60,30434.61,2554.91,11.97,30582.2727
Tamil Nadu,DHARMAPURI,2000,Kharif     ,Jowar,19579,0.13364869,35,68,31902.74,769.84,34.99,26936.7016
Tamil Nadu,DHARMAPURI,2001,Kharif     ,Jowar,15029,0.25605625,33,82,15371.45,5777.48,4.05,23398.794
Tamil Nadu,DHARMAPURI,2002,Kharif     ,Jowar,12211,0.12941,23,76,85801.95,86.53,448.89,38842.4517
Tamil Nadu,DHARMAPURI,2003,Kharif     ,Jowar,34264,0.01609646,25,98,45239.51,1551.94,19.05,29564.457
Tamil Nadu,DHARMAPURI,2004,Kharif     ,Jowar,21473,0,79,84,7868.64,3207.35,4.71,15106.6185
Tamil Nadu,DHARMAPURI,2005,Kharif     ,Jowar,12470,0,45,87,45291.24,683.58,1015.45,694141.311
Tamil Nadu,DHARMAPURI,2006,Whole Year ,Jowar,14114,0,36,82,7868.64,1251.12,12.94,16189.4928
Tamil Nadu,DHARMAPURI,2007,Whole Year ,Jowar,17170,0,39,68,46450.2,581.69,11.97,6962.8293
Tamil Nadu,DHARMAPURI,2008,Whole Year ,Jowar,17383,0.02803159,39,62,91442.63,2775.8,34.99,97125.242
Tamil Nadu,DHARMAPURI,2009,Whole Year ,Jowar,11605,0.02004627,54,54,7868.64,1279.6,6.7,8573.32
Tamil Nadu,DHARMAPURI,2011,Kharif     ,Jowar,8957,0.09858411,53,60,17314.2,3484.01,4.71,16409.6871
Tamil Nadu,DHARMAPURI,2011,Rabi       ,Jowar,243,0.08925248,72,53,19810.29,658.77,23.56,15520.6212
Tamil Nadu,DHARMAPURI,2013,Kharif     ,Jowar,17589,0.23821256,61,74,91442.63,2358,11.97,28225.26
Tamil Nadu,DHARMAPURI,2013,Rabi       ,Jowar,187,0.24572588,35,80,25909.05,2261.24,5.9,13341.316
Tamil Nadu,DINDIGUL,1997,Whole Year ,Jowar,56940,0,47,84,15371.45,2614.14,13.7,35813.718
Tamil Nadu,DINDIGUL,1998,Kharif     ,Jowar,50088,0,23,93,15371.45,683.58,39.83,27226.9914
Tamil Nadu,DINDIGUL,1999,Kharif     ,Jowar,61099,0,74,85,19083.55,731.25,6.7,4899.375
Tamil Nadu,DINDIGUL,2000,Kharif     ,Jowar,65117,0,87,84,9165.59,1918.92,16.69,32026.7748
Tamil Nadu,DINDIGUL,2001,Kharif     ,Jowar,42152,0,45,87,45291.24,683.58,1015.45,694141.311
Tamil Nadu,DINDIGUL,2002,Kharif     ,Jowar,44456,0,72,82,31902.74,2277.68,19.9,45325.832
Tamil Nadu,DINDIGUL,2003,Kharif     ,Jowar,53798,0,44,70,9165.59,1341.29,32.42,43484.6218
Tamil Nadu,DINDIGUL,2004,Kharif     ,Jowar,53098,0.02046472,63,60,42070.44,2179.26,19.05,41514.903
Tamil Nadu,DINDIGUL,2005,Kharif     ,Jowar,42814,0.26461286,72,68,45239.51,93.64,448.89,42034.0596
Tamil Nadu,DINDIGUL,2006,Whole Year ,Jowar,38242,0.10906583,21,82,91442.63,93.64,19.94,1867.1816
Tamil Nadu,DINDIGUL,2007,Whole Year ,Jowar,35878,0.01841964,48,79,28144.5,2068.67,42.68,88290.8356
Tamil Nadu,DINDIGUL,2008,Whole Year ,Jowar,25357,0,41,92,91442.63,2277.68,6.83,15556.5544
Tamil Nadu,DINDIGUL,2009,Whole Year ,Jowar,26591,0,68,82,25909.05,683.58,23.59,16125.6522
Tamil Nadu,DINDIGUL,2011,Kharif     ,Jowar,19549,0,60,82,27507.54,715.04,1.32,943.8528
Tamil Nadu,DINDIGUL,2011,Rabi       ,Jowar,9607,0.05764539,68,84,35423.48,1610.4,56,90182.4
Tamil Nadu,DINDIGUL,2013,Kharif     ,Jowar,14308,0,43,80,31902.74,1341.29,39.04,52363.9616
Tamil Nadu,DINDIGUL,2013,Rabi       ,Jowar,19190,0,38,80,22560.3,2172.46,23.59,51248.3314
Tamil Nadu,ERODE,1997,Whole Year ,Jowar,13275,0.07068956,42,66,45291.24,107.56,11.61,1248.7716
Tamil Nadu,ERODE,1998,Kharif     ,Jowar,17900,0.13252595,63,58,46450.2,3207.35,8.05,25819.1675
Tamil Nadu,ERODE,1999,Kharif     ,Jowar,12051,0.12220198,84,55,37801.85,840.58,42.68,35875.9544
Tamil Nadu,ERODE,2000,Kharif     ,Jowar,13448,0.2056398,45,68,45291.24,2179.26,17.83,38856.2058
Tamil Nadu,ERODE,2001,Kharif     ,Jowar,12140,0.09120516,27,80,19083.55,1341.29,12.94,17356.2926
Tamil Nadu,ERODE,2002,Kharif     ,Jowar,3383,0.0151269,11,76,15371.45,1898.3,9.83,18660.289
Tamil Nadu,ERODE,2003,Kharif     ,Jowar,6094,0,27,94,22489.75,2554.91,8.05,20567.0255
Tamil Nadu,ERODE,2004,Kharif     ,Jowar,745,0,60,82,27507.54,715.04,1.32,943.8528
Tamil Nadu,ERODE,2005,Kharif     ,Jowar,2490,0.0037788,75,81,9165.59,3484.01,10.29,35850.4629
Tamil Nadu,ERODE,2006,Whole Year ,Jowar,250,0,35,73,13209.32,3484.01,6.83,23795.7883
Tamil Nadu,ERODE,2007,Whole Year ,Jowar,746,0.09101022,41,60,27507.54,2172.46,1015.45,2206024.507
Tamil Nadu,ERODE,2008,Whole Year ,Jowar,98,0.00324931,38,54,9165.59,789.9,5.9,4660.41
Tamil Nadu,ERODE,2009,Whole Year ,Jowar,27,0.0776757,66,55,19857.7,404.43,42.95,17370.2685
Tamil Nadu,KANCHIPURAM,1997,Whole Year ,Jowar,4,0,25,95,13209.32,769.84,23.59,18160.5256
Tamil Nadu,KANCHIPURAM,1998,Kharif     ,Jowar,24,0,41,92,91442.63,2277.68,6.83,15556.5544
Tamil Nadu,KANCHIPURAM,2001,Kharif     ,Jowar,1,0.00322873,59,83,19083.55,732.62,4.05,2967.111
Tamil Nadu,KANCHIPURAM,2002,Kharif     ,Jowar,1,0.08645341,59,83,7868.64,119.72,11.61,1389.9492
Tamil Nadu,KANCHIPURAM,2003,Kharif     ,Jowar,2,0,46,82,35423.48,1279.6,32.42,41484.632
Tamil Nadu,KANCHIPURAM,2004,Kharif     ,Jowar,2,0,40,70,31902.74,789.9,6.7,5292.33
Tamil Nadu,KANCHIPURAM,2005,Kharif     ,Jowar,1,0.03893473,47,58,9165.59,1551.94,12.69,19694.1186
Tamil Nadu,KANCHIPURAM,2006,Whole Year ,Jowar,9,0.08525869,46,69,17705.93,107.56,13.57,1459.5892
Tamil Nadu,KANCHIPURAM,2007,Whole Year ,Jowar,16,0.0776757,66,55,19857.7,404.43,42.95,17370.2685
Tamil Nadu,KANCHIPURAM,2008,Whole Year ,Jowar,18,0.20511291,45,70,89025.27,85.79,1015.45,87115.4555
Tamil Nadu,KANCHIPURAM,2009,Whole Year ,Jowar,8,0.23821256,61,74,91442.63,2358,11.97,28225.26
Tamil Nadu,KANCHIPURAM,2013,Kharif     ,Jowar,5,0,41,86,45291.24,2261.24,1.32,2984.8368
Tamil Nadu,KANCHIPURAM,2013,Rabi       ,Jowar,24,0,19,92,85801.95,1251.12,13.57,16977.6984
Tamil Nadu,KARUR,1997,Whole Year ,Jowar,30201,0.16287162,52,55,25909.05,715.04,32.42,23181.5968
Tamil Nadu,KARUR,1998,Kharif     ,Jowar,36179,0.26244029,24,57,9165.59,2172.46,9.83,21355.2818
Tamil Nadu,KARUR,1999,Kharif     ,Jowar,44594,0.24572588,35,80,25909.05,2261.24,5.9,13341.316
Tamil Nadu,KARUR,2000,Kharif     ,Jowar,41564,0,22,84,46450.2,2509.99,12.69,31851.7731
Tamil Nadu,KARUR,2001,Kharif     ,Jowar,28091,0,41,86,45291.24,2261.24,1.32,2984.8368
Tamil Nadu,KARUR,2002,Kharif     ,Jowar,27521,0.00948428,18,94,31902.74,107.56,986.21,106076.7476
Tamil Nadu,KARUR,2003,Kharif     ,Jowar,35441,0.00907195,91,77,29876.36,119.72,19.94,2387.2168
Tamil Nadu,KARUR,2004,Kharif     ,Jowar,37549,0.08125601,58,83,13209.32,107.56,19.94,2144.7464
Tamil Nadu,KARUR,2005,Kharif     ,Jowar,21058,0,63,86,33046.12,581.69,11.98,6968.6462
Tamil Nadu,KARUR,2006,Whole Year ,Jowar,27584,0,41,76,89025.27,2179.26,6.42,13990.8492
Tamil Nadu,KARUR,2007,Whole Year ,Jowar,24871,0,40,70,31902.74,789.9,6.7,5292.33
Tamil Nadu,KARUR,2008,Whole Year ,Jowar,21794,0.0165269,55,58,15371.45,1559.04,19.05,29699.712
Tamil Nadu,KARUR,2009,Whole Year ,Jowar,21446,0.02179417,48,64,45291.24,86.53,12.94,1119.6982
Tamil Nadu,KARUR,2011,Kharif     ,Jowar,10193,0.0776757,66,55,19857.7,404.43,42.95,17370.2685
Tamil Nadu,KARUR,2011,Rabi       ,Jowar,5866,0.28862131,73,60,9165.59,2068.67,4.05,8378.1135
Tamil Nadu,KARUR,2013,Kharif     ,Jowar,20068,0.23477725,61,72,45239.51,3484.01,16.69,58148.1269
Tamil Nadu,KARUR,2013,Rabi       ,Jowar,1157,0.24019075,33,80,28144.5,2228.97,1.32,2942.2404
Tamil Nadu,KRISHNAGIRI,2004,Kharif     ,Jowar,4068,0,16,91,17705.93,2003.76,6.42,12864.1392
Tamil Nadu,KRISHNAGIRI,2005,Kharif     ,Jowar,5444,0.00464197,70,82,35423.48,93.64,13.57,1270.6948
Tamil Nadu,KRISHNAGIRI,2006,Whole Year ,Jowar,6139,0.00542341,76,82,22489.75,1595.56,67.41,107556.6996
Tamil Nadu,KRISHNAGIRI,2007,Whole Year ,Jowar,5477,0,74,81,28144.5,3207.35,4.71,15106.6185
Tamil Nadu,KRISHNAGIRI,2008,Whole Year ,Jowar,5344,0,39,77,27507.54,3670.54,34.99,128432.1946
Tamil Nadu,KRISHNAGIRI,2009,Whole Year ,Jowar,5665,0,38,69,29876.36,1279.6,36.61,46846.156
Tamil Nadu,KRISHNAGIRI,2011,Kharif     ,Jowar,4117,0.07964038,65,60,33046.12,2358,10.29,24263.82
Tamil Nadu,KRISHNAGIRI,2011,Rabi       ,Jowar,88,0.02360537,46,62,27507.54,840.58,13.45,11305.801
Tamil Nadu,KRISHNAGIRI,2013,Kharif     ,Jowar,4967,0.08006364,58,53,32683.46,3207.35,9.33,29924.5755
Tamil Nadu,KRISHNAGIRI,2013,Rabi       ,Jowar,13,0.16287162,52,55,25909.05,715.04,32.42,23181.5968
Tamil Nadu,MADURAI,1997,Whole Year ,Jowar,9626,0.25988332,59,76,86765.77,2554.91,4.71,12033.6261
Tamil Nadu,MADURAI,1998,Kharif     ,Jowar,12744,0.08972662,34,75,22560.3,1279.6,56,71657.6
Tamil Nadu,MADURAI,1999,Kharif     ,Jowar,9703,0.05862999,19,90,91442.63,3484.01,8.05,28046.2805
Tamil Nadu,MADURAI,2000,Kharif     ,Jowar,12053,0.00948428,18,94,31902.74,107.56,986.21,106076.7476
Tamil Nadu,MADURAI,2001,Kharif     ,Jowar,10986,0,26,90,31902.74,1918.92,4.71,9038.1132
Tamil Nadu,MADURAI,2002,Kharif     ,Jowar,9390,0,74,85,19083.55,731.25,6.7,4899.375
Tamil Nadu,MADURAI,2003,Kharif     ,Jowar,11319,0.12807676,63,84,29876.36,93.64,13.54,1267.8856
Tamil Nadu,MADURAI,2004,Kharif     ,Jowar,10605,0,37,78,17705.93,769.84,744.01,572768.6584
Tamil Nadu,MADURAI,2005,Kharif     ,Jowar,12078,0,36,72,45239.51,5777.48,23.56,136117.4288
Tamil Nadu,MADURAI,2006,Whole Year ,Jowar,10165,0.0165269,55,58,15371.45,1559.04,19.05,29699.712
Tamil Nadu,MADURAI,2007,Whole Year ,Jowar,9780,0.02179417,48,64,45291.24,86.53,12.94,1119.6982
Tamil Nadu,MADURAI,2008,Whole Year ,Jowar,12580,0.09419903,71,57,20671.54,581.69,31.1,18090.559
Tamil Nadu,MADURAI,2009,Whole Year ,Jowar,10038,0.34866006,34,56,7868.64,1898.3,7.47,14180.301
Tamil Nadu,MADURAI,2011,Kharif     ,Jowar,8483,0.23189624,36,81,45291.24,715.04,36.61,26177.6144
Tamil Nadu,MADURAI,2011,Rabi       ,Jowar,1071,0.10768843,28,84,45239.51,1610.4,13.57,21853.128
Tamil Nadu,MADURAI,2013,Kharif     ,Jowar,8169,0.0018103,23,94,17705.93,715.04,6.7,4790.768
Tamil Nadu,MADURAI,2013,Rabi       ,Jowar,2321,0.00948428,18,94,31902.74,107.56,986.21,106076.7476
Tamil Nadu,NAGAPATTINAM,2008,Whole Year ,Jowar,8,0.11341892,58,54,30114.45,1918.92,13.45,25809.474
Tamil Nadu,NAGAPATTINAM,2013,Kharif     ,Jowar,3,0.28560557,40,80,7868.64,2614.14,42.68,111571.4952
Tamil Nadu,NAGAPATTINAM,2013,Rabi       ,Jowar,14,0.15342658,32,76,17705.93,669.86,39.04,26151.3344
Tamil Nadu,NAMAKKAL,1997,Whole Year ,Jowar,20899,0.01812981,18,90,45239.51,2277.68,10.29,23437.3272
Tamil Nadu,NAMAKKAL,1998,Kharif     ,Jowar,56098,0,24,88,19259.84,731.25,36.61,26771.0625
Tamil Nadu,NAMAKKAL,1999,Kharif     ,Jowar,61229,0,27,94,22489.75,2554.91,8.05,20567.0255
Tamil Nadu,NAMAKKAL,2000,Kharif     ,Jowar,63220,0.03705747,58,89,15371.45,804.8,744.01,598779.248
Tamil Nadu,NAMAKKAL,2001,Kharif     ,Jowar,10020,0,62,80,46450.2,2068.67,23.56,48737.8652
Tamil Nadu,NAMAKKAL,2002,Kharif     ,Jowar,22624,0.12807676,63,84,29876.36,93.64,13.54,1267.8856
Tamil Nadu,NAMAKKAL,2003,Kharif     ,Jowar,24410,0,37,79,19259.84,683.58,1015.45,694141.311
Tamil Nadu,NAMAKKAL,2004,Kharif     ,Jowar,24633,0,45,62,85801.95,2539.47,37.19,94442.8893
Tamil Nadu,NAMAKKAL,2005,Kharif     ,Jowar,29907,0,51,54,29876.36,669.86,1.32,884.2152
Tamil Nadu,NAMAKKAL,2006,Whole Year ,Jowar,16408,0.15220806,59,59,15371.45,2261.24,6.7,15150.308
Tamil Nadu,NAMAKKAL,2007,Whole Year ,Jowar,15738,0.31073026,50,76,19259.84,1551.94,6.83,10599.7502
Tamil Nadu,NAMAKKAL,2008,Whole Year ,Jowar,17385,0.12941,23,76,85801.95,86.53,448.89,38842.4517
Tamil Nadu,NAMAKKAL,2009,Whole Year ,Jowar,9754,0.0393005,57,80,7868.64,1387.36,31.1,43146.896
Tamil Nadu,NAMAKKAL,2011,Kharif     ,Jowar,6563,0,22,92,45291.24,2775.8,7.47,20735.226
Tamil Nadu,NAMAKKAL,2011,Rabi       ,Jowar,3354,0.01609646,25,98,45239.51,1551.94,19.05,29564.457
Tamil Nadu,NAMAKKAL,2013,Kharif     ,Jowar,56498,0,61,85,45239.51,2127.35,12.69,26996.0715
Tamil Nadu,NAMAKKAL,2013,Rabi       ,Jowar,32252,0,74,85,15371.45,581.69,11.98,6968.6462
Tamil Nadu,PERAMBALUR,1997,Whole Year ,Jowar,27746,0.01277463,71,85,22489.75,1551.94,17.83,27671.0902
Tamil Nadu,PERAMBALUR,1998,Kharif     ,Jowar,27917,0,65,81,45239.51,2261.24,3.01,6806.3324
Tamil Nadu,PERAMBALUR,1999,Kharif     ,Jowar,17177,0,41,76,89025.27,2179.26,6.42,13990.8492
Tamil Nadu,PERAMBALUR,2000,Kharif     ,Jowar,24424,0,40,70,31902.74,789.9,6.7,5292.33
Tamil Nadu,PERAMBALUR,2001,Kharif     ,Jowar,25920,0.00274983,47,56,29876.36,1691.66,8.72,14751.2752
Tamil Nadu,PERAMBALUR,2002,Kharif     ,Jowar,27211,0.02360537,46,62,27507.54,840.58,13.45,11305.801
Tamil Nadu,PERAMBALUR,2003,Kharif     ,Jowar,25963,0.1796935,73,56,8266.98,2614.14,3.01,7868.5614
Tamil Nadu,PERAMBALUR,2004,Kharif     ,Jowar,14656,0.301119,33,82,13209.32,2068.67,3.01,6226.6967
Tamil Nadu,PERAMBALUR,2005,Kharif     ,Jowar,9498,0,22,84,46450.2,2509.99,12.69,31851.7731
Tamil Nadu,PERAMBALUR,2006,Whole Year ,Jowar,11049,0,17,93,29876.36,85.79,757.92,65021.9568
Tamil Nadu,PERAMBALUR,2007,Whole Year ,Jowar,10008,0.023315,23,96,15371.45,1387.36,42.95,59587.112
Tamil Nadu,PERAMBALUR,2008,Whole Year ,Jowar,4710,0.02482661,93,78,46450.2,3670.54,37.19,136507.3826
Tamil Nadu,PERAMBALUR,2009,Whole Year ,Jowar,3881,0,60,82,27507.54,715.04,1.32,943.8528
Tamil Nadu,PERAMBALUR,2011,Kharif     ,Jowar,1356,0.01277463,71,85,22489.75,1551.94,17.83,27671.0902
Tamil Nadu,PERAMBALUR,2011,Rabi       ,Jowar,7,0,68,80,15371.45,1918.92,16.69,32026.7748
Tamil Nadu,PERAMBALUR,2013,Kharif     ,Jowar,3417,0,37,74,35423.48,1691.66,12.69,21467.1654
Tamil Nadu,PERAMBALUR,2013,Rabi       ,Jowar,220,0,41,68,17705.93,658.77,11.98,7892.0646
Tamil Nadu,PUDUKKOTTAI,1997,Whole Year ,Jowar,1050,0.00350056,41,62,35423.48,2179.26,9.59,20899.1034
Tamil Nadu,PUDUKKOTTAI,1998,Kharif     ,Jowar,492,0,45,64,86765.77,2068.67,42.95,88849.3765
